Code,Message
200215,בַ ם׃דֽ ַָ׃Ê־ַֿד ַבֳׁÞַד Ýם ַבַָֿםֹ
200216,ם׃דֽ ַָ׃Ê־ַֿד ַבÚָׁםֹ זַבַהßבםׂםֹ זַבֳׁÞַד ÝÞ״
200217,Úֿֿ ַבֳֽׁÝ ַבֵהּבםׂםֹ דה ֳּב Ê׃דםֹ ַבװ־ױםֹ וז 4 Úבל ַבֳÞב ז 14 ßֽֿ ֳÞױל  2 Úבל ַבַÞב ז 7 Úבל ַבַßֻׁ בבÛֹ ַבÚָׁםֹ
200218,ֳהÊ בד ÊÊֳßֿ דה ַ׃ד װ־ױםÊß דה ֳּב ַבÊßַׁׁ ֳז ַה ַבַ׃ד Þםֿ ַבַ׃ÊÚדַב
200219,דדßה ַ׃Ê־ַֿדו. וב ÊׁÛָ Ýם ַבדÊַָÚֹ¿
220301,Êד  Êַּזׂ ַבֽֿ ַבÞױל בÚֿֿ ÛׁÝ ַבדַָׁםַÊ 
220411,בַ םדßהß ÊÞבםב Úֿֿ ַבבַÚָםה ַבַה
220412,ֵÚַַֿֿÊ ַבד׃Êזל ַב־ַ״ֶֹ
220413,בַ םדßהß ׁÝÚ דÊ״בַָÊ ַבד׃Êזל ַבַה
220414,בַ םדßהß Ê־Ýםײ דÊ״בַָÊ ַבד׃Êזל ַבַה
220415,ֳֽֿ ַבבַÚָםה בַ םדבß הÞַ״ַ ßַÝםֹ ַבַה
220511,ÛׁÝֹ ַבדַַָֹׁ Ûםׁ דזּזֹֿ
220512,ַבדַַָֹׁ Þֿ ֳָֿÊ
220513,ßבדֹ דׁזׁ ־ַ״ֶֹ
220514,בַ םדßהß ֿ־זב ÛׁÝֹ ַבדַַָֹׁ בֳהß בד ÊֽÞÞ דÊ״בַָÊ ַבדׁßׂ
220515,ÛׁÝֹ ַבדַַָֹׁ דדÊבֶֹ
220516,ו׀ו ַבװ־ױםֹ דזּזֹֿ ד׃ָÞַ
220517,דַָֹׁ ַבהÞ״ דÊַֹֽ בבַÚָםה ׀ז ד׃Êזל 20 ַז ַÚבל
220518,בם׃ בֿםß הÞַ״ ßַÝםֹ
220611,בַ Êזּֿ ֳם ÛׁÝֹ דַַָֹׁ םדßהß ַבַהײדַד ֵבםוַ
230903,דײםÝ ַבדַַָֹׁ ÝÞ״ בֿםו ו׀ו ַבױבַֽםֹ
231001,בַ םדßה ַםַּֿ ַבד׃Ê־ֿד
231002,ַבבַÚָ ׁÝײ ֿÚזÊß
231400,ÊדÊ ַבַײַÝֹ בÞֶַדֹ ַבÊַּוב בֿםß
231411,בַ םדßהß ַײַÝֹ הÝ׃ß
231412,ַבַ׃ד Ûםׁ דזּזֿ
231413,ַבַ׃ד דזּזֿ Úבל ַבֶַֹֽ ד׃ָÞַ
231500,ÊדÊ ַַׂבֹ ַבַ׃ד דה ַבבֶַֹֽ
231511,ַבַ׃ד Ûםׁ דÊזַּֿ Úבל ַבבֶַֹֽ
231700,Êד ַבַהַּׂ
231711,בַ םדßהß ַײַÝֹ הÝ׃ß
231712,ַבַ׃ד Ûםׁ דזּזֿ
231713,ַבַ׃ד דזּזֿ Úבל ַבֶַֹֽ ד׃ָÞַ
231800,Êד ַבַהַּׂ
231811,ַבַ׃ד Ûםׁ דזּזֿ Úבל ַבֶַֹֽ
240002,דײםÝ ַבדַַָֹׁ ÝÞ״ בֿםו ו׀ו ַב׃ב״ֹ
240003,דײםÝ ַבדַַָֹׁ ז ַבßַָÊה ÝÞ״ בֿםוד ו׀ו ַב׃ב״ֹ
240114,ֳֽֿוד בַ םדבß הÞַ״ַ ßַÝםֹ ַבַה
240115,בַ םזּֿ Úֿֿ ßַÝם דה ַבבַÚָםה בֱָֿ ַבדַַָֹׁ
240116,בַ ם׃Ê״םÚ ַבדװַוֿזה ֿ־זב ÛׁÝֹ דַַָֹׁ ַבהÞ״.
250102,בַ םדßהß ÊהÞב ײדה הÝ׃ ַבÝׁםÞ
250111,בַ םזּֿ ֳדַßה בבַהײדַד
250202,דײםÝ ַבדַַָֹׁ ÝÞ״ בֿםו ו׀ו ַב׃ב״ֹ
250211,־״ֳ Ýם ֵÚַַֿֿÊ ַבדßַה
250212,־״ֳ Ýם ֵÚַַֿֿÊ ַבדßַה
250213,־״ֳ Ýם ֵÚַַֿֿÊ ַבדßַה
250214,־״ֳ Ýם ֵÚַַֿֿÊ ַבדßַה
250300,Êד Ê׃ּםב ֳ־ׁ דַַָֹׁ
250301,בַ Êזּֿ הÊםֹּ בבדַַָֹׁ
250302,בַ םזּֿ Êַׁם־ בבדַַָֹׁ
250400,םָּ Úבָß ַה ÊÊַּזׂ ַבֿבםב ַבÊÚבםדם
260001,בד ÊÞד ַָ־Êםַׁ װ־ױםֹ
310212,ַבֳַֹֿ Ûםׁ דזּזֹֿ
310403,ַבֽֿ ַבֳÞױל בÚֿֿ ַבֳֿזַÊ ַבד׃דזֽ ַבַֽÊÝַÙ ָוַ Þֿ Êד  Êַּזׂו 
310404,The item doesn't exist.
310405,Your level doesn't meet the level requirements.
310411,והַß דװßבֹ Ýם ַבזַֽֿÊ
310412,והַß דװßבֹ Ýם ַבזַֽֿÊ
310413,והַß דװßבֹ Ýם ַבזַֽֿÊ
310414,בַ םזּֿ דַ םßÝם דה ַבזַֽֿÊ
310415,Êד ֵהוֱַ ַבÊֿׁםָ ַבֳÚבל  ָהַּֽ
310416,בַ םדßהß װֱַׁ ו׀ו ַבֳַֹֿ  דַ בד ÊֽÞÞ דÊ״בַָÊ ַבד׃Êזל
310421,והַß דװßבֹ Ýם הÞַ״ß
310422,והַß דװßבֹ Ýם הÞַ״ß
310423,והַß דװßבֹ Ýם הÞַ״ß
310424,בַ םזּֿ הÞַ״ ßַÝםֹ
310702,ַבֳַֹֿ Ûםׁ דזּזֹֿ
311103,ַבֽֿ ַבֳÞױל בÚֿֿ ַבֳֿזַÊ ַבד׃דזֽ ַבַֽÊÝַÙ ָוַ Þֿ Êד  Êַּזׂו 
311104,The item doesn't exist.
311105,Your level doesn't meet the level requirements.
311111,והַß דװßבֹ Ýם ַבזַֽֿÊ
311112,והַß דװßבֹ Ýם ַבזַֽֿÊ
311113,והַß דװßבֹ Ýם ַבזַֽֿÊ
311114,בַ םזּֿ הÞַ״ ßַÝםֹ
311115,Êד ֵהוֱַ ַבÊֿׁםָ ַבֳÚבל  ָהַּֽ
311116,בַ םדßהß װֱַׁ ו׀ו ַבֳַֹֿ  דַ בד ÊֽÞÞ דÊ״בַָÊ ַבד׃Êזל
311121,והַß דװßבֹ Ýם הÞַ״ß
311122,והַß דװßבֹ Ýם הÞַ״ß
311123,והַß דװßבֹ Ýם הÞַ״ß
311124,בַ םזּֿ הÞַ״ ßַÝםֹ
311204,בַ םדßהß ַבÊ״זםׁ ַßֻׁ דה ׀בß
311303,בַ םזּֿ הÞַ״ ßַÝםֹ
320212,בַםדßה ֵםַּֿ ֳַֹֿ ַבדוַֹׁ
320404,ֳַֹֿ ַבדוַֹׁ Ûםׁ דזּזֹֿ
320405,Your level doesn't meet the level requirements.
320406,You have already purchased this skill.
320405,בÞֿ ÞדÊ ד׃ָÞַ ָװֱַׁ ו׀ו ַבדוַֹׁ
320405,ֳַֹֿ ַבדוַֹׁ Ûםׁ דזּזֹֿ
320511,הÞַ״ ַבדוַֹׁ Ûםׁ ßַÝםֹ
320512,ַבֳַֹֿ ֵדַ Ûםׁ דזּזֹֿ ֳז דֿדֹׁ
320513,בַ םדßהß Ê״זםׁ ו׀ו ַבדוַֹׁ ֳßֻׁ
330212,ו׀ו ַבַֽÊÝַבםֹ Ûםׁ דזּזֹֿ
330415,Êד ֵהוֱַ ַבÊֿׁםָ ַבֳÚבל ָהַּֽ
330416,בַ םדßהß װֱַׁ ו׀ו ַבֳַֹֿ  ֽÊל ÊֽÞÞ דÊ״בַָÊ ַבד׃Êזל
340212,ַבÊֿׁםָ Ûםׁ דזּזֿ
500102,בַ םדßה ֵםַּֿ ַבד׃Ê־ֿד
500211,זּֿ ־״ֳ Ýם Þםד ַבװ־ױםֹ
500212,בַ םזּֿ דַ םßÝם דה ַבהÞַ״ ַבֵײַÝםֹ
4,ßזֿ
900001,%s םֿÚזß ֵבל ÛׁÝֹ ַבדַַָֹׁ %03d
900002,%s םֿÚזß ֵבל ÛׁÝֹ ַבדַַָֹׁ %03d ׁ׃ַבֹ%s
900003,ד־ֿד ַבÊֿׁםָ
900004,ַבד־ֿד ַבÚַֿם
900005,ד־ֿד דַַָֹׁ ַבÝׁםÞ
900006,ד־ֿד דַַָֹׁ ַבהַֿם
900007,ד־ֿד ַבָ״זבֹ
900008,ד־ֿד ַבדַַָֹׁ ַבׁ׃דםֹ
900009,ֵÚַַֿֿÊ
900010,ֵÚַַֿֿÊ
900011,דוַֹׁ:%s
900012,Lv: %d
900013,Êֿׁםָ:%s
900014,Lv: %d
900015,[דÝÊַֽ] %s
900016,%.1fsec
900017,ַװÊׁם דוַֹׁ
900018,ַװÊׁם Êֿׁםָ
900019,ַװÊׁם ַֽÊÝַב
900020,ׁױםֿß
900021,׃Úׁ ַבֳַֹֿ
900022,ַבׁױםֿ ַבּֿםֿ
900023,הÞַ״
900024,ׁױםֿß
900025,׃Úׁ ַבֳַֹֿ
900026,ַבׁױםֿ ַבּֿםֿ
900027,ַבזַֽֿÊ
900028,ַובַ ז ׃ובַ!
900029,ֳַֹֿ: %s\
900030,־םַׁ %d: %s\
900031,ַװÊׁם ֳַֹֿ
900032,ֳַֹֿ וֿםֹ
900033,Êַָֿב ֳַֹֿ
900034,ַװÊׁם דוַֹׁ
900035,בַ םזּֿ ־ַָׁ
900036,׀ßׁ
900037,ֳהֻל
900038,Lv.%d 
900039,None
900040,זÞÊ ַבבÚָ: %s
900041,ַבזÞÊ ַבַֽבם: %s
900042,ָÞם בבָ״זבֹ %s ַֻהםֹ
900043,ָÞם בדַַָֹׁ ַבהַֿם%sַֻהםֹ
900044,ָÞם בבזÞÊ ַב׀וָם%sַֻהםֹ
900045,[ַוד׃]
900046,[הַֿם]
900047,ֳֿ־ב דÝÊַֽ
900048,%s
900049,דַֿÝÚ
900050,none
900051,דָÊֶֿ
900052,וַזם
900053,הÙַדם
900054,דֽÊׁÝ
900055,ֳÝײב בַÚָ
900056,ֳ׃״זֹׁ
900057,דודֹ %03d
900058,Lv.%d
900059,%d
900060,ד׃Êֽםב
900061,דדßה
900062,ָװׁ״ ד׃ָÞ: %s
900063,דÚבזדַÊם
900064,דÚבזדַÊ ַבד׃Ê־ֿד
900065,דוַַׁÊם
900066,Êֿׁםָם
900067,ַֽÊÝַבַÊם
900068,בַÚָ
900069,ßֹׁ + בַÚָ
900070,ßֹׁ
900071,Ê׃ֿםֹֿ ַָֻÊֹ
900072,None
900073,ֳהÊ דÚַÞָ דה GM בדֹֿ %d ַֻהםֹ!
900074,זּֿ %02 'OGG' דבÝַÊ.
900075,דַָֽׁ ָß Ýם Úַבד ַבַß׃ ßםß ...םָּ Úבם ַה ַÊÝÞֿ ַדַׁ Þָב ַבֱָֿ ַָבבÚָ ...ַÊָÚהם בז ׃דֽÊ
900076,"םזּֿ ַבÚֿםֿ דה ַבדַׁßׂ Ýם ַבַß׃ ßםß ..
 ֿÚהַ הבÞם הÙֹׁ Úבםוַ"
900077,Ýם ו׀ַ ַבֿׁ׃ ׃זÝ הÊÚבד דהַ״Þ ַבוּזד ז ַבֿÝַÚ Úבל ױזֹׁ ֳׁײ ַבדבÚָ
900078,ַבדה״Þֹ ַבדÚבדֹ ַָבַױÝׁ ום דה״Þֹ ַבÊ׃ֿםֹֿ ַבÞױםֹׁ ז Ê׃ֿםֿ ַָבֳׁ׃בַÚָ ַבוּזד FW ַָדßַהו Ê׃ּםב וֿÝ ָ׃וזבֹ ַָבÊ׃ֿםֹֿ ַבÞױםֹׁ זַבײַָׁÊ ַבֳׁ׃םֹ
900079,ַבדה״Þֹ ַבדÚבדֹ ַָבַױÝׁ ום דה״Þֹ ַבÊ׃ֿםֹֿ ַב״זםבֹבַÚָ ַבז׃״ MF ַָדßַהו Ê׃ּםב וֿÝ ָ׃וזבֹ ַָבÊ׃ֿםַֿÊ ַב״זםבֹ 
900080,ו׀ו ַבַדַßה ַבדÚבדֹ ַָבַױÝׁ ום דהַ״Þ ÊÞַ״Ú ַבßֹׁ ַ׀ַ ßַהÊ Þֹֿׁ ַבÊÞַ״Ú בֿםß ַÚבל Ý׃זÝ ÊÊדßה דה ַםױַב ַבßֹׁ ַבל בַÚָם ַבוּזד FW ָ׃וזבֹ
900081,ו׀ו ום דה״Þֹ ַבֿÝַÚ ...םדßהß ַה Ê־״Ý ַבßֹׁ ַז ÊÚׁÞב ַב־ױד Ýם ַם דßַה ז בßה ַב׃ם״ֹׁ Úבל ַבßֹׁ דדßה ÝÞ״ Ýם ַבדßַה ַבדÚבד ַָבַױÝׁ Úַבםַ
900082,ֳ־םַׁ ֿÚהַ הָּׁ ַַׁׁׂ ַבÊֽßד Ýם Xkick
900083,בַ ÊÞבÞ םדßהß ÊÛםםׁ ו׀ו ַבַַׁׁׂ ֽ׃ָ ׁÛָÊß Ýם ַֽב ֳֿׁÊ ׀בß
900084,ֿבםב
900085,Êֽßד
900086,דודֹ ַבÝׁםÞ
900087,ßַÝֹ ַבדַׁßׂ
900088,ָֿזה װׁ״
900089,ַבד־ׂה דדÊבֶ
900090,בד Êֽױב Úבל ַבָ״ַÞֹ ָ׃ָָ Úֿד ÊזַÝׁ ַבװׁז״
900091,ַבדׁÊָֹ %c
900092,בַ םזּֿ ׁױםֿ ßַÝ
900093,[ ֳוַֿÝ : %d ]
900094,[ ד׃ַÚֹֿ : %d ]
900095,דהױָ דזױל ָו : %s
900096,%s Ê׃ֿםֹֿ ּםֹֿ! וב Êָֽ דׁßׂ ַבוּזד¿ ַהו ַבדׁßׂ בױהÚ ַבֳוַֿÝ ֶַׁÚ ֳבם׃ ß׀בß ¿
900097,%s Êדׁםֹׁ ּםֹֿ! וב Êָֽ דׁßׂ ַבז׃״ ¿ ַהו ַבדׁßׂ ַבדÊ־ױױ Ýם ַבוּזד זַבֿÝַÚ דÚַ ֶַׁÚ ֳבם׃ ß׀בß ¿
900098,"%s ,ֿÝַÚ ּםֿ! וב Êָֽ דׁßׂ ַבֿÝַÚ¿ ַהו ַבדׁßׂ ַבדÊ־ױױ Ýם Úֿד ־׃ַֹׁ וֿÝ ֶַׁÚ ֳבם׃ ß׀בß ¿"
900099,ַבֵֽÊÝַב: %s
900100,ַבדוַֹׁ Lv. %d
900101,ָÞם %d דֹׁ בבÊ״זםׁ
900102,Êד Ê״זםׁ ֳַֿÊß
900103, וםַ ָהַ הÊָֿׁ Úבל ַבדוַַׁÊ ַבַ׃ַ׃םֹ .. ַבÊ׃ֿםֿ ז ַבÊדׁםֹׁ ז ַבÊדׁםֹׁ ַב״זםבֹ ÊֽÊַּ ַבל ֿÞֹ
900104,  ַבַדׁ ׃וב ַּֿ ָּׁ ָהÝ׃ß .. ַײÛ״ A ַז D ַז F Úהֿדַ Êßזה ַבßֹׁ ָֽזׂÊßÚהֿוַ ׃זÝ םׁÊÝÚ ַבדÞםַ׃ בבַÚבל ַײÛ״ A ַז D ַז F  דֹׁ ַ־ׁל ז ׃זÝ םÊזÞÝ ַבדÞםַ׃דה ֻד ׃זÝ ÊÞזד  ָׁßב ַבßֹׁ
900105,זַז ֶַׁÚ ַּֿ! בם׃ ַָבַדׁ ַבױÚָ ֳבם׃ ß׀בß¿וםַ ָהַ ַבל ַב־״זֹ ַבÊַבםֹ
900106,"ֽ׃הַ ,,, ו׀ַ בם׃ דַ ַֿׁÊו בÞֿ ַׁÊßָÊ ־״ֳ ַבם׃ ß׀בß ¿ ׁßׂ ֳßֻׁ Þבםבַ ז ַÚֿ ַבדַֽזבֹ וב Êׁםֿ ַה ַÚםֿ בß ַבװֽׁ ¿"
900107,וםַ בהÊָֿׁ ßםÝםֹ ַבÊ׃ֿםֿ ָÞזֹ ז ֿÞֹװַוֿ ßםÝ ַÞזד ָÊ׃ּםב וֿÝÊ׃ּםב ַבַוַֿÝ Úהױׁ ַ׃ַ׃ם בבÝזׂ
900108,ַה ַבַדׁ ׃וב ַּֿ ָּׁ ָהÝ׃ßַײÛ״ D ַז F Úהֿדַ Êßזה ַבßֹׁ ָֽזׂÊß ז Úהֿוַ ׃זÝ םׁÊÝÚ ַבדÞםַ׃ בבַÚבלַײÛ״ D ַז F דֹׁ ַ־ׁל ז ׃זÝ םÊזÞÝ ַבדÞםַ׃ ז דה ֻד ׃זÝ ÊÞזד ָׁßב ַבßַֹֽׁזב ַה Ê׃ֿֿ ַבßֹׁ ַָ׃Ê־ַֿד ַבׁׂ ַבÙַוׁ Úבל װַָß ַבוֿÝ
900109,ַ׃ַ׃ ßֹׁ ַבÞֿד וז ַבÊדׁםׁ ַבם׃ ß׀בß ¿ֿÚהַ הÊָֿׁ Úבל ַבÊדׁםֹׁ ַבÞױםֹׁ ..Ýם ו׀ו ַבדֹׁ ַםײַ ׃זÝ ַÞזד ַָבֽׁßֹ ַהַ ַזבַ..ַÊָÚהם
900110,ַהוַ ָ׃ם״ֹ ַּֿ !! ָּׁ ָהÝ׃ß ַבַה !!!
900111,ַבַה ׃זÝ הÊָֿׁ Úבל ַבÚׁÞבֹ .. ַֽזב ַה Êֳ־׀ ַבßֹׁ דה ַב־ױד Úה ״ׁםÞ ַבÚׁÞבֹ .. םָּ ַה ÊßזÊ Þׁםַָ דה בַÚָ ַב־ױד ...ַÊָÚהם
900112,ַײÛ״ ַבׁׂ דֹׁ ַ־ׁל Úהֿדַ םױב דִװׁ ַבדÞםַ׃ ַבל ַבבזה ַבַׁׂÞ
900113,ַֽזב ַה Ê׃ֿֿ ַבßֹׁ ַָ׃Ê־ַֿד ַבׁׂ ַבÙַוׁ Úבל װַָß ַבוֿÝ
900114,ַֽזב ַה Êדׁׁ ַבßֹׁ בבַÚָ ַב־ױד ַָ׃Ê־ַֿד ׁׂם A ַז SÚהֿדַ Êßזה ַבßֹׁ ָֽזׂÊß
900115,ַֽזב ַהÊ ÊÚׁÞב ַבבַÚָ ַב׀ם םדÊבß ַבßֹׁ Úה ״ׁםÞ ַבײÛ״ Úבל ׁׂ Q
900116,ַבֶַֹּׂ: %s
900117,בהבÞם הÙֹׁ Úבל ÊÛםםׁ ַזב דׁßׂ בßÚהֿדַ Êױָֽ Ýם ַבד׃Êזל 5ַָדßַהß ַ־Êםַׁ דׁßׂ ָםה ַבוּזד ֳז ־״ ַבז׃״ ֳז ַבֿÝַÚַםײַ ׃םÊד ÊÞ׃םד ו׀ו ַבדַׁßׂ בםÊד Ê־ױױß ָװßב דÝױב Úהֿדַ Êױב בבד׃Êזל 20
900118,ÞַֿׁÊ ז דוַַׁÊ ַבװ־ױםֹ ד־ÊבÝֹ ÊדַדַÝום ÊÚÊדֿ Úבל דהױָ ז ד׃Êזל ַבװ־ױםֹ
900119,ֳזבַ .ֿÚהַ הׁל דהַ״Þ ַבוּזד
900120,ֳֽ׃הÊ .ֵָדßַהß ַב׀וַָ ֵבל ַב־״זֹ ַבÞַֿדֹ !וםַ ָהַ
900121,ַבדÝַÊםֽ ַבÙַוֹׁ Ýם ַבֳÚבל ום דÝַÊםֽ ַבֳַׁׁׂ ַבֳ׃ַ׃םֹ ב X-kick
900122,ַײÛ״ ַבׁׂ ַבÊַבם בÊ׀וָ ז ÊßÊװÝ ַבדִװַׁÊ
900123,ַבהַÝ׀ֹ ׃זÝ ÊÛבÞ ָÚֿ %d ַֻהםֹ
900124,[ַבÝׁםÞ] %s :%s
900125,[וד׃]ַבל %s :%s
900126,[וד׃]דה %s :%s
900127,[ַבהַֿם] %s :%s
900128,[דבַֽÙֹ]
900129,EXP + %d
